dataset_id,author,downloads
m-a-p/FineFineWeb,m-a-p,2746970
KakologArchives/KakologArchives,KakologArchives,2530990
huggingface/documentation-images,huggingface,2032605
hf-doc-build/doc-build,hf-doc-build,1790768
ropedia-ai/xperience-10m,ropedia-ai,1661612
banned-historical-archives/banned-historical-archives,banned-historical-archives,1515570
NTU-NLP-sg/xCodeEval,NTU-NLP-sg,1270039
Salesforce/wikitext,Salesforce,1021438
tasl-lab/uniocc,tasl-lab,849244
princeton-nlp/SWE-bench_Verified,princeton-nlp,703560
openai/gsm8k,openai,696467
epfml/FineWeb-HQ,epfml,690453
ScaleAI/SWE-bench_Pro,ScaleAI,645695
nguha/legalbench,nguha,627283
allenai/c4,allenai,625336
Kthera/pesoz,Kthera,576963
allenai/dolma3_mix-6T-1025-7B,allenai,571055
lavita/medical-qa-shared-task-v1-toy,lavita,555887
allenai/MADLAD-400,allenai,541484
mteb/sts22-crosslingual-sts,mteb,528761
